Date,PhaseName,Rank,Medal,Person/Team,Country, ,Age (days),Result
24-Sep-1988,Cycling - Track Team Pursuit Men - Olympic Games 1988,3,B,"Wayne McCarney (AUS, 30 Jun 1966)",Australia,,22-086,
24-Sep-1988,Cycling - Track Team Pursuit Men - Olympic Games 1988,3,B,"Stephen McGlede (AUS, 13 Apr 1969)",Australia,,19-164,
24-Sep-1988,Cycling - Track Team Pursuit Men - Olympic Games 1988,3,B,"Brett Dutton (AUS, 18 Nov 1966)",Australia,,21-311,
24-Sep-1988,Cycling - Track Team Pursuit Men - Olympic Games 1988,3,B,"Scott McGrory (AUS, 22 Dec 1969)",Australia,,18-277,
22-Sep-1988,Cycling - Track 4km Individual Pursuit Men - Olympic Games 1988,3,B,"Bernd Dittert (GER, 06 Feb 1961)",East Germany,,27-229,
20-Sep-1988,Cycling - Track 1km Time Trial Men - Olympic Games 1988,3,B,"Robert Lechner (GER, 22 Jan 1967)",West Germany,,21-242,1:05.114
03-Aug-1984,Cycling - Track Points Race Men - Olympic Games 1984,3,B,"Manuel Youshimatz (MEX, 10 May 1962)",Mexico,,22-085,
03-Aug-1984,Cycling - Track Sprint Men - Olympic Games 1984,3,B,"Tsutomu Sakamoto (JPN, 03 Aug 1962)",Japan,,22-000,
03-Aug-1984,Cycling - Track Team Pursuit Men - Olympic Games 1984,3,B,West Germany,West Germany,,22-042,4:25.600
03-Aug-1984,Cycling - Track Team Pursuit Men - Olympic Games 1984,3,B,"Michael Marx (GER, 07 Feb 1960)",West Germany,,24-178,4:25.600
03-Aug-1984,Cycling - Track Team Pursuit Men - Olympic Games 1984,3,B,"Rolf Gölz (GER, 30 Sep 1962)",West Germany,,21-308,4:25.600
03-Aug-1984,Cycling - Track Team Pursuit Men - Olympic Games 1984,3,B,"Reinhard Alber (GER, 06 Feb 1964)",West Germany,,20-179,4:25.600
03-Aug-1984,Cycling - Track Team Pursuit Men - Olympic Games 1984,3,B,"Roland Günther (GER, 11 Dec 1962)",West Germany,,21-236,4:25.600
01-Aug-1984,Cycling - Track 4km Individual Pursuit Men - Olympic Games 1984,3,B,"Léonard Nitz (USA, 30 Sep 1956)",United States,,27-306,
30-Jul-1984,Cycling - Track 1km Time Trial Men - Olympic Games 1984,3,B,"Fabrice Colas (FRA, 21 Jul 1964)",France,,20-009,1:06.649
03-Aug-1980,Cycling - Track Team Pursuit Men - Olympic Games 1980,3,B,Czechoslovakia,Czechoslovakia,,22-348,
03-Aug-1980,Cycling - Track Team Pursuit Men - Olympic Games 1980,3,B,"Teodor Cerný (TCH, 12 Jan 1957)",Czechoslovakia,,23-204,
03-Aug-1980,Cycling - Track Team Pursuit Men - Olympic Games 1980,3,B,"Martin Penc (CZE, 21 May 1957)",Czechoslovakia,,23-074,
