"","Funnel Disciplines","Pinnacle Result","Pinnacle Time","worldsFlag","juniorsFlag","pinnacleFlag","Years Out from Games"
"348","Team Pursuit",1,203.419,TRUE,FALSE,TRUE,1
"349","Team Pursuit",4,204.571,TRUE,FALSE,TRUE,2
"350","Team Sprint",1,NA,TRUE,FALSE,TRUE,1
"351","Team Sprint",3,NA,TRUE,FALSE,FALSE,4
"352","Keirin",12,NA,TRUE,FALSE,TRUE,1
"353","Keirin",19,NA,TRUE,FALSE,TRUE,2
"354","Sprint",3,NA,TRUE,FALSE,TRUE,3
"355","Sprint",2,NA,TRUE,FALSE,FALSE,4
"356","Team Pursuit",2,NA,TRUE,FALSE,TRUE,1
"357","Team Pursuit",1,NA,TRUE,FALSE,TRUE,2
"358","Team Pursuit",1,237.28,TRUE,FALSE,TRUE,1
"359","Team Pursuit",1,240.362,TRUE,FALSE,TRUE,2
"360","Team Pursuit",6,NA,TRUE,FALSE,TRUE,6
"361","Team Pursuit",4,246.591,TRUE,FALSE,TRUE,1
"362","Team Pursuit",5,247.53,TRUE,FALSE,TRUE,2
"363","Team Pursuit",4,248.661,TRUE,FALSE,TRUE,3
"364","Team Pursuit",10,250.82,FALSE,FALSE,TRUE,4
"365","Team Pursuit",6,248.295,TRUE,FALSE,TRUE,5
"366","Madison",2,NA,TRUE,FALSE,TRUE,3
"367","Madison",1,NA,TRUE,FALSE,FALSE,4
"368","Madison",1,NA,TRUE,FALSE,TRUE,5
"369","Sprint",6,NA,TRUE,FALSE,TRUE,1
"370","Sprint",1,NA,TRUE,FALSE,TRUE,2
"371","Sprint",4,NA,TRUE,FALSE,TRUE,3
"372","Madison",5,NA,TRUE,FALSE,TRUE,1
"373","Madison",1,NA,TRUE,FALSE,TRUE,2
"374","Team Pursuit",1,NA,TRUE,FALSE,TRUE,2
"375","Team Pursuit",4,NA,FALSE,FALSE,TRUE,4
"376","Keirin",9,NA,TRUE,FALSE,TRUE,1
"377","Keirin",3,NA,TRUE,FALSE,TRUE,2
"378","Keirin",3,NA,TRUE,FALSE,TRUE,3
"379","Keirin",10,NA,TRUE,TRUE,TRUE,6
"380","Keirin",19,NA,TRUE,TRUE,TRUE,7
"381","Team Sprint",3,44.24,TRUE,FALSE,TRUE,1
"382","Team Sprint",5,45.05,TRUE,FALSE,TRUE,2
"383","Keirin",11,NA,TRUE,FALSE,TRUE,1
"384","Keirin",3,NA,TRUE,FALSE,TRUE,2
"385","Keirin",1,NA,TRUE,FALSE,TRUE,3
"386","Keirin",13,NA,FALSE,FALSE,TRUE,4
"387","Team Sprint",2,43.453,TRUE,FALSE,TRUE,2
"388","Team Sprint",1,43.51,TRUE,FALSE,TRUE,3
"389","Team Pursuit",1,237.832,TRUE,FALSE,TRUE,1
"390","Team Pursuit",1,235.654,TRUE,FALSE,TRUE,2
