"","Funnel Disciplines","Gender","Pinnacle Result","Pinnacle Time","worldsFlag","juniorsFlag","pinnacleFlag","Years Out from Games"
"423","K1 500m","Women",1,117.58,TRUE,FALSE,TRUE,6
"424","K1 500m","Women",3,114.39,TRUE,FALSE,TRUE,7
"425","K1 500m","Women",5,120.58,TRUE,FALSE,TRUE,9
"426","K1 500m","Women",7,125.65,TRUE,FALSE,TRUE,10
"427","K2 1000m","Men",8,209.39,FALSE,FALSE,TRUE,8
"428","K2 1000m","Men",5,236.44,TRUE,FALSE,TRUE,9
"429","K2 500m","Women",3,103.568,TRUE,FALSE,TRUE,1
"430","K4 500m","Women",1,93.993,TRUE,FALSE,TRUE,1
"431","K4 500m","Women",2,103.991,TRUE,FALSE,TRUE,2
"432","K4 500m","Women",2,97.967,TRUE,FALSE,TRUE,3
"433","K4 500m","Women",1,96.58,TRUE,FALSE,TRUE,1
"434","K4 500m","Women",3,97.09,TRUE,FALSE,TRUE,2
"435","K4 500m","Women",1,92.9,TRUE,FALSE,TRUE,3
"436","K2 500m","Women",6,104.447,TRUE,FALSE,TRUE,1
"437","K2 500m","Women",8,115.404,TRUE,FALSE,TRUE,2
"438","K2 500m","Women",3,109.34,TRUE,FALSE,TRUE,6
"439","K1 500m","Women",6,114.216,TRUE,FALSE,TRUE,1
